Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size010_length300,4
size015_length010,5
size015_length020,6
size015_length025,7
size015_length030,8
size015_length040,9
size020_length010,10
size020_length020,11
size020_length030,12
size020_length040,13
size020_length050,14
size020_length060,15
size020_length080,16
size020_length090,17
size020_length120,18
size025_length020,19
size025_length025,20
size025_length030,21
size025_length035,22
size025_length040,23
size025_length045,24
size025_length050,25
size025_length060,26
size025_length080,27
size030_length040,28
size030_length050,29
size030_length054,30
size030_length060,31
size030_length070,32
size030_length080,33
size030_length090,34
size030_length100,35
size030_length120,36
size035_length040,37
size035_length050,38
size035_length054,39
size035_length060,40
size035_length066,41
size035_length075,42
size035_length080,43
size035_length090,44
size035_length100,45
size035_length120,46
size040_length030,47
size040_length040,48
size040_length050,49
size040_length060,50
size040_length070,51
size040_length075,52
size040_length080,53
size040_length100,54
size040_length115,55
size040_length120,56
size040_length150,57
size040_length250,58
size045_length100,59
size045_length120,60
size050_length050,61
size050_length060,62
size050_length080,63
size050_length090,64
size050_length097,65
size050_length100,66
size050_length120,67
size050_length150,68
size050_length170,69
size050_length200,70
size050_length300,71
size060_length050,72
size060_length060,73
size060_length080,74
size060_length090,75
size060_length100,76
size060_length110,77
size060_length115,78
size060_length119,79
size060_length120,80
size060_length150,81
size060_length160,82
size060_length190,83
size060_length200,84
size060_length260,85
size060_length300,86
size070_length060,87
size070_length070,88
size070_length100,89
size070_length130,90
size070_length139,91
size070_length143,92
size070_length150,93
size070_length170,94
size070_length180,95
size070_length200,96
size070_length210,97
size070_length230,98
size070_length250,99
size070_length280,100
size070_length300,101
size070_length330,102
size080_length136,103
size080_length150,104
size080_length161,105
size080_length170,106
size080_length200,107
size080_length240,108
size080_length250,109
size080_length270,110
size080_length290,111
size080_length300,112
size080_length350,113
size090_length150,114
size090_length200,115
size090_length210,116
size090_length220,117
size090_length230,118
size090_length250,119
size090_length300,120
size090_length310,121
size090_length330,122
size100_length100,123
size100_length250,124
size100_length260,125
size100_length300,126
size100_length340,127
size100_length360,128
size100_length400,129
size110_length270,130
size110_length370,131
size120_length300,132
size120_length350,133
size120_length400,134
size120_length430,135
size120_length450,136
size120_length460,137
size130_length226,138
size130_length300,139
size140_length300,140
size140_length400,141
size140_length470,142
size140_length500,143
size150_length150,144
size150_length400,145
size150_length500,146
size150_length570,147
size160_length150,148
size160_length200,149
size160_length300,150
size160_length400,151
size160_length470,152
size160_length500,153
size160_length600,154
size170_length500,155
size180_length300,156
size180_length400,157
size180_length460,158
size180_length500,159
size180_length570,160
size190_length500,161
size200_length300,162
size200_length400,163
size200_length460,164
size200_length500,165
size200_length600,166
size220_length200,167
size220_length500,168
size240_length200,169
size240_length500,170
size240_length570,171
size250_length500,172
size280_length600,173
